id;text;manual_bias;a_i_bias
1;../fake-data/blob/hipster.txt;Solutions Wooden;Borders violet feed
2;../fake-data/blob/hipster.txt;Pound Cheese SCSI;primary Fish
3;../fake-data/blob/hipster.txt;Fresh;executive engine
4;../fake-data/blob/hipster.txt;sensor;Fantastic green Total
5;../fake-data/blob/hipster.txt;Regional;Industrial
6;../fake-data/blob/hipster.txt;Bedfordshire Pass;XML transitional
7;../fake-data/blob/hipster.txt;Nebraska Ergonomic;superstructure Lebanon virtual
8;../fake-data/blob/hipster.txt;Generic synergistic Fish;static pixel
9;../fake-data/blob/hipster.txt;Ergonomic mindshare Grocery;Concrete
10;../fake-data/blob/hipster.txt;Handcrafted Israel Savings;Iran azure
